                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63738,                0.46288,                0.92525,                0.34711,                0.14216,                0.12862,                0.07255,                 2.5599,                 4.2475,                 3.4878,              0.0011288,              0.0011288,              0.0011288
                     36,                0.62229,                0.44812,                0.91492,                0.48629,                0.52843,                0.47137,                0.24482,                 2.2917,                 2.0211,                 3.4021,              0.0011024,              0.0011024,              0.0011024
                     37,                0.62295,                0.44383,                0.91434,                0.41828,                0.29679,                0.26107,                0.13504,                 2.4103,                 2.9168,                 3.4575,               0.001076,               0.001076,               0.001076
                     38,                0.62082,                 0.4411,                0.91873,                0.32281,                0.34706,                0.26266,                  0.125,                 2.4065,                 3.1067,                 3.4463,              0.0010496,              0.0010496,              0.0010496
                     39,                0.62271,                0.44378,                0.91628,                0.40708,                0.46275,                0.41328,                0.20485,                 2.2151,                 2.8232,                 3.3767,              0.0010232,              0.0010232,              0.0010232
                     40,                0.62183,                 0.4487,                0.91695,                0.08501,                0.01078,                0.00633,                0.00302,                 2.6446,                 5.5972,                 3.6355,              0.0009968,              0.0009968,              0.0009968
                     41,                 0.6085,                0.43354,                0.90774,                0.41358,                0.42157,                0.33312,                 0.1545,                 2.2433,                 2.7024,                 3.2915,              0.0009704,              0.0009704,              0.0009704
                     42,                0.61365,                0.44005,                0.91405,                0.51017,                0.28489,                0.29015,                 0.1735,                 2.2755,                 3.0297,                 3.0972,               0.000944,               0.000944,               0.000944
                     43,                0.59609,                0.41699,                0.90507,                0.42841,                0.33581,                0.28895,                0.13599,                 2.6216,                 3.0381,                 3.5948,              0.0009176,              0.0009176,              0.0009176
                     44,                0.61142,                0.43157,                 0.9146,                0.49148,                0.35784,                0.33896,                0.17025,                 2.2973,                 2.7289,                 3.2684,              0.0008912,              0.0008912,              0.0008912
                     45,                0.59518,                0.42249,                0.90888,                0.45615,                 0.4451,                0.38982,                0.20331,                 2.2475,                  2.283,                 3.3968,              0.0008648,              0.0008648,              0.0008648
                     46,                0.60143,                0.42018,                0.90785,                0.48021,                0.34216,                0.29812,                 0.1522,                 2.5794,                 2.9822,                 3.4562,              0.0008384,              0.0008384,              0.0008384
                     47,                0.59038,                0.41748,                0.90603,                0.57584,                0.42325,                0.40839,                0.21563,                 2.4162,                 2.3341,                 3.3678,               0.000812,               0.000812,               0.000812
                     48,                0.58496,                 0.4097,                0.90157,                0.61741,                0.26471,                0.27767,                0.15562,                  2.425,                 3.4829,                 3.3242,              0.0007856,              0.0007856,              0.0007856
                     49,                0.58083,                0.41027,                0.90428,                0.52121,                0.33627,                0.32043,                  0.152,                 2.3735,                 3.1457,                 3.1937,              0.0007592,              0.0007592,              0.0007592
                     50,                0.57267,                0.40107,                0.89992,                0.52891,                0.31471,                 0.2956,                0.14574,                 2.4579,                 3.0473,                 3.1563,              0.0007328,              0.0007328,              0.0007328
                     51,                0.58488,                0.40541,                0.89803,                0.51408,                0.38824,                0.37733,                0.19429,                 2.4043,                 2.2097,                 3.1304,              0.0007064,              0.0007064,              0.0007064
                     52,                0.57941,                0.40345,                0.90286,                 0.5423,                0.34732,                0.36021,                 0.1972,                 2.4477,                 2.4369,                 3.2071,                0.00068,                0.00068,                0.00068
                     53,                0.56761,                0.39176,                0.89673,                0.55158,                0.51569,                0.48335,                0.25864,                 2.3132,                 2.0101,                 3.0717,              0.0006536,              0.0006536,              0.0006536
                     54,                0.57357,                0.39411,                0.90208,                0.56252,                0.26765,                0.27219,                 0.1532,                 2.6424,                  3.278,                  3.265,              0.0006272,              0.0006272,              0.0006272
                     55,                0.55946,                0.38503,                0.89606,                0.54121,                0.35392,                0.35598,                0.18629,                 2.4812,                  2.538,                 3.1944,              0.0006008,              0.0006008,              0.0006008
                     56,                0.56046,                0.38953,                0.89376,                0.66956,                0.34368,                0.36014,                0.21484,                  2.402,                 2.9667,                 3.0098,              0.0005744,              0.0005744,              0.0005744
                     57,                0.55942,                0.38702,                0.89288,                0.59247,                0.37549,                0.36881,                0.21221,                 2.4076,                  2.593,                 3.1274,               0.000548,               0.000548,               0.000548
                     58,                0.56147,                0.38689,                0.89615,                 0.6219,                0.36765,                0.38925,                0.21966,                 2.4345,                 2.3849,                 3.1571,              0.0005216,              0.0005216,              0.0005216
                     59,                 0.5543,                0.37453,                0.88877,                0.61223,                0.36667,                0.36567,                0.19821,                 2.4992,                 2.7867,                 3.2545,              0.0004952,              0.0004952,              0.0004952
                     60,                0.56762,                0.38061,                0.89505,                0.61368,                0.38627,                0.37517,                0.22114,                 2.3272,                 2.8031,                  3.031,              0.0004688,              0.0004688,              0.0004688
