                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.39641,                0.23884,                0.85605,                0.23811,                0.30686,                0.14131,                0.04798,                 2.8958,                   5.22,                 4.5308,              0.0011288,              0.0011288,              0.0011288
                     36,                0.40312,                0.24146,                0.85908,                0.20895,                 0.2902,                0.13372,                0.03499,                 3.0534,                 5.1116,                 4.7769,              0.0011024,              0.0011024,              0.0011024
                     37,                0.39648,                0.23527,                0.85621,                0.26998,                0.31765,                0.14735,                 0.0649,                 2.7689,                 5.1859,                 4.2217,               0.001076,               0.001076,               0.001076
                     38,                0.40011,                0.23838,                0.85975,                0.18201,                0.23235,                0.09941,                0.02303,                 3.1846,                 5.6217,                 5.0061,              0.0010496,              0.0010496,              0.0010496
                     39,                 0.3916,                0.23435,                0.85577,                 0.1951,                0.43333,                0.13979,                0.04469,                 2.8744,                 5.3674,                 4.6929,              0.0010232,              0.0010232,              0.0010232
                     40,                0.38746,                0.23166,                0.85694,                0.17343,                0.27843,                0.08582,                0.03073,                 2.8942,                 7.4339,                 4.7083,              0.0009968,              0.0009968,              0.0009968
                     41,                0.39126,                0.23101,                0.85722,                0.22123,                0.38137,                0.15545,                0.05198,                 2.9598,                 4.3643,                 4.2364,              0.0009704,              0.0009704,              0.0009704
                     42,                0.38232,                0.22904,                0.85453,                0.18968,                0.29804,                0.10995,                 0.0363,                 2.9704,                 5.1701,                 4.4441,               0.000944,               0.000944,               0.000944
                     43,                0.38778,                0.22947,                0.85726,                0.15588,                0.21961,                0.07288,                0.01595,                 3.4511,                 5.5643,                  5.674,              0.0009176,              0.0009176,              0.0009176
                     44,                0.38135,                0.22444,                0.85229,                0.22448,                0.32947,                0.12471,                0.04353,                 3.1399,                 4.5606,                 4.4469,              0.0008912,              0.0008912,              0.0008912
                     45,                0.37667,                0.22355,                0.85336,                0.17089,                0.21569,                0.07603,                0.01988,                 3.2726,                 5.9639,                 4.9342,              0.0008648,              0.0008648,              0.0008648
                     46,                0.37674,                0.22386,                0.85147,                0.23274,                0.28529,                0.12754,                0.03987,                 3.0916,                 4.9561,                 4.5848,              0.0008384,              0.0008384,              0.0008384
                     47,                0.37585,                0.22164,                0.85233,                0.21555,                0.36765,                0.12554,                0.03283,                 3.0484,                 5.8918,                 4.5287,               0.000812,               0.000812,               0.000812
                     48,                0.37515,                0.22371,                0.85085,                0.19867,                0.26275,                0.11158,                0.03474,                 3.1338,                 5.6699,                  4.467,              0.0007856,              0.0007856,              0.0007856
                     49,                 0.3663,                0.21636,                0.84982,                0.24962,                0.33039,                0.14051,                0.04473,                 3.1332,                 5.2902,                  4.638,              0.0007592,              0.0007592,              0.0007592
                     50,                0.37814,                0.22078,                0.85337,                 0.2447,                0.32745,                0.13949,                0.04368,                 3.0151,                 5.1047,                 4.6076,              0.0007328,              0.0007328,              0.0007328
                     51,                0.37228,                0.21845,                0.85301,                0.26098,                0.33235,                0.14769,                0.04476,                 3.0202,                 5.1032,                 4.4265,              0.0007064,              0.0007064,              0.0007064
                     52,                0.36683,                0.21673,                0.85078,                0.27288,                0.33261,                0.17095,                0.04641,                 3.1753,                 4.0897,                 4.5573,                0.00068,                0.00068,                0.00068
                     53,                0.36746,                0.21478,                0.84954,                0.34789,                0.41078,                0.22959,                0.09114,                  2.744,                 4.2468,                  4.035,              0.0006536,              0.0006536,              0.0006536
                     54,                0.36089,                0.21256,                0.84899,                0.26796,                0.43137,                0.17608,                0.06664,                 2.7157,                 5.4552,                 4.0474,              0.0006272,              0.0006272,              0.0006272
                     55,                0.35938,                0.20989,                0.84782,                0.26113,                 0.2902,                0.14129,                0.05084,                 3.0346,                  5.013,                 4.3999,              0.0006008,              0.0006008,              0.0006008
                     56,                0.35729,                0.20869,                0.84582,                0.23879,                0.38413,                0.15455,                0.05284,                 2.7473,                 5.1175,                 4.2136,              0.0005744,              0.0005744,              0.0005744
                     57,                0.36549,                0.21144,                0.84997,                0.21327,                0.37353,                 0.1362,                 0.0517,                 2.7485,                 6.4362,                 4.3784,               0.000548,               0.000548,               0.000548
                     58,                0.35255,                0.20542,                0.84663,                0.27184,                0.37442,                 0.1798,                 0.0792,                 2.6505,                 5.3204,                 4.1899,              0.0005216,              0.0005216,              0.0005216
                     59,                0.35129,                0.20383,                0.84275,                0.24307,                0.38922,                 0.1589,                 0.0735,                 2.6586,                 5.4989,                 4.3998,              0.0004952,              0.0004952,              0.0004952
                     60,                0.35528,                 0.2054,                 0.8479,                0.30617,                0.43824,                0.20226,                0.08031,                 2.6775,                 4.8464,                 4.2345,              0.0004688,              0.0004688,              0.0004688
                     61,                0.35011,                0.20196,                0.84244,                0.28052,                0.40686,                0.18986,                0.06661,                 2.7375,                 4.3394,                 4.4143,              0.0004424,              0.0004424,              0.0004424
                     62,                0.34337,                0.20063,                0.84437,                0.22513,                0.43725,                0.16408,                0.05219,                 2.8032,                 4.9971,                 4.4134,               0.000416,               0.000416,               0.000416
                     63,                0.34512,                0.19889,                 0.8424,                0.19779,                0.37451,                0.12867,                0.03628,                 3.0019,                  5.451,                 4.9992,              0.0003896,              0.0003896,              0.0003896
                     64,                0.34284,                 0.1956,                0.84197,                0.22864,                0.35294,                 0.1286,                0.03592,                 3.0177,                 5.6944,                 4.9805,              0.0003632,              0.0003632,              0.0003632
                     65,                0.33963,                0.19551,                0.84597,                0.22645,                0.38428,                0.14317,                0.03937,                 2.9966,                 5.1475,                 4.9797,              0.0003368,              0.0003368,              0.0003368
                     66,                0.30711,                0.16696,                0.82005,                0.23028,                0.32647,                0.12761,                0.04035,                 2.9874,                 5.7509,                 4.8653,              0.0003104,              0.0003104,              0.0003104
                     67,                0.30659,                0.16909,                0.81905,                0.24619,                0.44314,                0.17163,                0.05588,                 2.8139,                 4.9524,                 4.5285,               0.000284,               0.000284,               0.000284
                     68,                 0.3022,                0.16512,                0.81999,                0.22502,                0.39608,                0.14736,                0.04534,                 2.9125,                 5.5056,                 4.9218,              0.0002576,              0.0002576,              0.0002576
                     69,                0.30103,                0.16358,                0.81861,                0.22957,                0.31471,                0.12712,                 0.0381,                 3.0188,                 5.8541,                  4.998,              0.0002312,              0.0002312,              0.0002312
                     70,                 0.2988,                0.16274,                0.81949,                0.22917,                0.34902,                0.14322,                0.04275,                 2.9891,                 5.3036,                 4.7751,              0.0002048,              0.0002048,              0.0002048
                     71,                0.29104,                0.15895,                0.81634,                0.23462,                0.36373,                 0.1457,                 0.0424,                 2.9933,                 5.1007,                 4.8789,              0.0001784,              0.0001784,              0.0001784
                     72,                0.29655,                0.15979,                0.81447,                0.23228,                0.37197,                0.14961,                0.04276,                 3.0276,                 4.9486,                 4.9422,               0.000152,               0.000152,               0.000152
                     73,                0.29126,                0.15738,                0.81389,                0.21427,                0.41961,                0.15204,                0.04372,                 3.0096,                 4.7577,                  4.765,              0.0001256,              0.0001256,              0.0001256
                     74,                0.28779,                0.15531,                0.81551,                0.23062,                0.33431,                0.13638,                0.04299,                 2.9789,                 5.3693,                 4.8242,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.28827,                0.15516,                0.81356,                0.23255,                0.35392,                0.14026,                0.04493,                 2.9509,                 5.1805,                 4.8517,               7.28e-05,               7.28e-05,               7.28e-05
