                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52309,                0.34526,                0.87926,                0.49232,                0.53039,                0.45762,                0.21467,                 2.1393,                 1.7412,                 3.1831,              0.0011288,              0.0011288,              0.0011288
                     36,                0.51858,                0.33799,                0.87759,                0.50334,                0.56471,                0.47448,                0.23698,                 1.9162,                 1.8125,                  2.747,              0.0011024,              0.0011024,              0.0011024
                     37,                0.52073,                0.34171,                0.87882,                0.61461,                0.51126,                0.52564,                 0.2987,                  2.009,                 1.8358,                 2.7872,               0.001076,               0.001076,               0.001076
                     38,                0.51961,                 0.3391,                0.87747,                0.55965,                0.38039,                0.40125,                0.20904,                 2.1168,                   2.22,                  2.989,              0.0010496,              0.0010496,              0.0010496
                     39,                0.51407,                0.33335,                0.87693,                0.65588,                0.50078,                0.54842,                0.29463,                 2.0172,                 2.0712,                 2.8056,              0.0010232,              0.0010232,              0.0010232
                     40,                0.51307,                0.33319,                0.87474,                0.66332,                0.43529,                0.46976,                0.24836,                  2.102,                  2.246,                 2.9145,              0.0009968,              0.0009968,              0.0009968
                     41,                0.50979,                0.33131,                0.87499,                0.54888,                0.47833,                0.42854,                0.22662,                 2.0249,                  1.886,                 2.7984,              0.0009704,              0.0009704,              0.0009704
                     42,                0.50681,                 0.3266,                0.87351,                0.56849,                0.44608,                0.44868,                0.20377,                 2.2264,                 2.2702,                 2.9708,               0.000944,               0.000944,               0.000944
                     43,                0.50845,                0.32838,                 0.8733,                0.65386,                 0.4278,                0.46558,                0.26285,                 2.1183,                 2.2286,                 2.9905,              0.0009176,              0.0009176,              0.0009176
                     44,                  0.502,                0.32371,                0.87387,                0.57296,                0.45392,                0.47008,                0.25577,                 2.1092,                 1.9702,                 3.0019,              0.0008912,              0.0008912,              0.0008912
                     45,                0.50765,                0.32794,                0.87549,                0.59356,                 0.4238,                0.44418,                0.24948,                 2.0915,                 1.9592,                 2.9167,              0.0008648,              0.0008648,              0.0008648
                     46,                0.50536,                0.32511,                0.87329,                0.68431,                0.48029,                0.50419,                0.29833,                 2.0463,                 1.9807,                 2.9662,              0.0008384,              0.0008384,              0.0008384
                     47,                0.50219,                 0.3228,                0.87189,                0.54847,                0.48922,                0.48558,                0.26808,                 2.0346,                 1.7904,                  2.862,               0.000812,               0.000812,               0.000812
                     48,                0.49525,                0.31599,                0.87148,                0.61329,                0.40392,                0.41539,                0.23999,                  2.092,                 2.3902,                 2.9506,              0.0007856,              0.0007856,              0.0007856
                     49,                0.49899,                0.31929,                0.87174,                0.62795,                0.33137,                0.33368,                0.19824,                 2.1448,                 2.6852,                 2.8707,              0.0007592,              0.0007592,              0.0007592
                     50,                0.49738,                0.31804,                0.87065,                0.66655,                0.36078,                0.42805,                0.24656,                 2.0328,                 2.6722,                 2.7859,              0.0007328,              0.0007328,              0.0007328
                     51,                0.49365,                0.31354,                0.87125,                0.67784,                0.51078,                0.55653,                0.30103,                 1.8889,                 1.7827,                 2.5726,              0.0007064,              0.0007064,              0.0007064
                     52,                0.49046,                0.30894,                0.86906,                0.66389,                0.54118,                0.56577,                0.30892,                 1.9336,                 1.6793,                 2.8837,                0.00068,                0.00068,                0.00068
                     53,                0.48743,                0.30721,                0.86955,                0.64697,                0.51176,                0.53502,                0.27457,                 1.9776,                 1.7181,                 2.8635,              0.0006536,              0.0006536,              0.0006536
                     54,                0.48975,                0.30923,                0.86892,                 0.6457,                0.36807,                0.39573,                0.23833,                 2.0403,                  2.417,                 2.8874,              0.0006272,              0.0006272,              0.0006272
